failure_reason,participants
insufficient_keystrokes(595);insufficient_sections(12);temporal_order_issue,1
insufficient_keystrokes(526);insufficient_sections(14);temporal_order_issue,1
insufficient_keystrokes(558);insufficient_sections(13);temporal_order_issue,1
insufficient_keystrokes(466);temporal_order_issue,1
insufficient_keystrokes(555);insufficient_sections(12);temporal_order_issue,1
insufficient_keystrokes(465);temporal_order_issue,1
insufficient_keystrokes(545);insufficient_sections(13);temporal_order_issue,1
insufficient_keystrokes(546);insufficient_sections(10),1
insufficient_keystrokes(488);insufficient_sections(12),1
insufficient_keystrokes(541);insufficient_sections(13);temporal_order_issue,1
insufficient_keystrokes(525);insufficient_sections(12);temporal_order_issue,1
insufficient_keystrokes(475);temporal_order_issue,1
insufficient_keystrokes(486);temporal_order_issue,1
insufficient_keystrokes(589);insufficient_sections(12);temporal_order_issue,1
insufficient_keystrokes(572);insufficient_sections(14);temporal_order_issue,1
insufficient_keystrokes(565);insufficient_sections(11);temporal_order_issue,1
insufficient_keystrokes(592);insufficient_sections(10);temporal_order_issue,1
insufficient_keystrokes(524);insufficient_sections(13);temporal_order_issue,1
insufficient_keystrokes(539);insufficient_sections(13);temporal_order_issue,1
insufficient_keystrokes(505);insufficient_sections(12);temporal_order_issue,1
insufficient_keystrokes(467);temporal_order_issue,1
insufficient_keystrokes(477);temporal_order_issue,1
insufficient_keystrokes(485);temporal_order_issue,1
insufficient_keystrokes(436);temporal_order_issue,1
insufficient_keystrokes(516);insufficient_sections(11);temporal_order_issue,1
insufficient_keystrokes(550);insufficient_sections(12);temporal_order_issue,1
insufficient_keystrokes(568);insufficient_sections(11);temporal_order_issue,1
insufficient_keystrokes(498);insufficient_sections(10);temporal_order_issue,1
insufficient_keystrokes(535);insufficient_sections(12);temporal_order_issue,1
insufficient_keystrokes(530);insufficient_sections(13);temporal_order_issue,1
insufficient_keystrokes(470);temporal_order_issue,1
insufficient_keystrokes(586);insufficient_sections(10);temporal_order_issue,1
insufficient_keystrokes(439);insufficient_sections(11),1
insufficient_keystrokes(479);insufficient_sections(12);temporal_order_issue,1
insufficient_keystrokes(465);insufficient_sections(10),1
insufficient_keystrokes(501);insufficient_sections(10);temporal_order_issue,1
insufficient_keystrokes(498);insufficient_sections(13);temporal_order_issue,1
insufficient_keystrokes(565);insufficient_sections(12);temporal_order_issue,1
insufficient_keystrokes(451);temporal_order_issue,1
insufficient_keystrokes(477);insufficient_sections(11);temporal_order_issue,1
insufficient_keystrokes(524);insufficient_sections(14);temporal_order_issue,1
insufficient_keystrokes(469);temporal_order_issue,1
insufficient_keystrokes(531);insufficient_sections(13);temporal_order_issue,1
insufficient_keystrokes(522);insufficient_sections(11);temporal_order_issue,1
insufficient_keystrokes(518);insufficient_sections(12);temporal_order_issue,1
insufficient_keystrokes(437);temporal_order_issue,1
insufficient_keystrokes(517);insufficient_sections(11);temporal_order_issue,1
insufficient_keystrokes(487);temporal_order_issue,1
insufficient_keystrokes(455);insufficient_sections(11);temporal_order_issue,1
insufficient_keystrokes(436);insufficient_sections(11);temporal_order_issue,1
insufficient_keystrokes(479);temporal_order_issue,1
insufficient_keystrokes(552);insufficient_sections(12);temporal_order_issue,1
insufficient_keystrokes(579);insufficient_sections(10);temporal_order_issue,1
insufficient_keystrokes(533);insufficient_sections(9);temporal_order_issue,1
insufficient_keystrokes(394);insufficient_sections(11);temporal_order_issue,1
insufficient_keystrokes(562);insufficient_sections(10);temporal_order_issue,1
insufficient_keystrokes(446);insufficient_sections(9);temporal_order_issue,1
insufficient_keystrokes(358);insufficient_sections(10),1
insufficient_keystrokes(508);insufficient_sections(11);temporal_order_issue,1
insufficient_keystrokes(413);insufficient_sections(9);temporal_order_issue,1
insufficient_keystrokes(544);insufficient_sections(9);temporal_order_issue,1
insufficient_keystrokes(380);insufficient_sections(9);temporal_order_issue,1
insufficient_keystrokes(379);insufficient_sections(9);temporal_order_issue,1
insufficient_keystrokes(406);insufficient_sections(8);temporal_order_issue,1
insufficient_keystrokes(435);insufficient_sections(7);temporal_order_issue,1
insufficient_keystrokes(435);insufficient_sections(10);temporal_order_issue,1
insufficient_keystrokes(403);insufficient_sections(10);temporal_order_issue,1
insufficient_keystrokes(386);insufficient_sections(9);temporal_order_issue,1
insufficient_keystrokes(408);insufficient_sections(9);temporal_order_issue,1
insufficient_keystrokes(362);insufficient_sections(9);temporal_order_issue,1
insufficient_keystrokes(492);insufficient_sections(8);temporal_order_issue,1
insufficient_keystrokes(424);insufficient_sections(9);temporal_order_issue,1
insufficient_keystrokes(463);insufficient_sections(8);temporal_order_issue,1
insufficient_keystrokes(419);insufficient_sections(7);temporal_order_issue,1
insufficient_keystrokes(385);insufficient_sections(7);temporal_order_issue,1
insufficient_keystrokes(472);insufficient_sections(10);temporal_order_issue,1
insufficient_keystrokes(428);insufficient_sections(9);temporal_order_issue,1
insufficient_keystrokes(439);insufficient_sections(8);temporal_order_issue,1
insufficient_keystrokes(419);insufficient_sections(9);temporal_order_issue,1
insufficient_keystrokes(359);insufficient_sections(8);temporal_order_issue,1
insufficient_keystrokes(371);insufficient_sections(9);temporal_order_issue,1
insufficient_keystrokes(449);insufficient_sections(7);temporal_order_issue,1
insufficient_keystrokes(412);insufficient_sections(9);temporal_order_issue,1
insufficient_keystrokes(394);insufficient_sections(8);temporal_order_issue,1
insufficient_keystrokes(378);insufficient_sections(9);temporal_order_issue,1
insufficient_keystrokes(366);insufficient_sections(6);temporal_order_issue,1
insufficient_keystrokes(325);insufficient_sections(8);temporal_order_issue,1
insufficient_keystrokes(399);insufficient_sections(9);temporal_order_issue,1
insufficient_keystrokes(365);insufficient_sections(8);temporal_order_issue,1
insufficient_keystrokes(389);insufficient_sections(8);temporal_order_issue,1
insufficient_keystrokes(402);insufficient_sections(7);temporal_order_issue,1
insufficient_keystrokes(323);insufficient_sections(9);temporal_order_issue,1
insufficient_keystrokes(361);insufficient_sections(9);temporal_order_issue,1
insufficient_keystrokes(327);insufficient_sections(8);temporal_order_issue,1
insufficient_keystrokes(257);insufficient_sections(7),1
insufficient_keystrokes(248);insufficient_sections(9);temporal_order_issue,1
insufficient_keystrokes(342);insufficient_sections(7);temporal_order_issue,1
insufficient_keystrokes(346);insufficient_sections(8);temporal_order_issue,1
insufficient_keystrokes(313);insufficient_sections(8);temporal_order_issue,1
insufficient_keystrokes(270);insufficient_sections(6);temporal_order_issue,1
insufficient_keystrokes(339);insufficient_sections(8);temporal_order_issue,1
insufficient_keystrokes(330);insufficient_sections(7);temporal_order_issue,1
insufficient_keystrokes(319);insufficient_sections(8);temporal_order_issue,1
insufficient_keystrokes(210);insufficient_sections(5),1
insufficient_keystrokes(265);insufficient_sections(6);temporal_order_issue,1
insufficient_keystrokes(190);insufficient_sections(5),1
insufficient_keystrokes(250);insufficient_sections(6);temporal_order_issue,1
insufficient_keystrokes(253);insufficient_sections(5);temporal_order_issue,1
insufficient_keystrokes(311);insufficient_sections(6);temporal_order_issue,1
insufficient_keystrokes(292);insufficient_sections(6);temporal_order_issue,1
insufficient_keystrokes(277);insufficient_sections(4);temporal_order_issue,1
insufficient_keystrokes(255);insufficient_sections(6);temporal_order_issue,1
insufficient_keystrokes(226);insufficient_sections(5);temporal_order_issue,1
insufficient_keystrokes(259);insufficient_sections(5);temporal_order_issue,1
insufficient_keystrokes(178);insufficient_sections(6);temporal_order_issue,1
insufficient_keystrokes(252);insufficient_sections(5);temporal_order_issue,1
insufficient_keystrokes(158);insufficient_sections(4),1
insufficient_keystrokes(201);insufficient_sections(5);temporal_order_issue,1
insufficient_keystrokes(259);insufficient_sections(6);temporal_order_issue,1
insufficient_keystrokes(141);insufficient_sections(4),1
insufficient_keystrokes(298);insufficient_sections(5);temporal_order_issue,1
insufficient_keystrokes(227);insufficient_sections(6);temporal_order_issue,1
insufficient_keystrokes(220);insufficient_sections(4);temporal_order_issue,1
insufficient_keystrokes(151);insufficient_sections(4);temporal_order_issue,1
insufficient_keystrokes(110);insufficient_sections(3);temporal_order_issue,1
insufficient_keystrokes(142);insufficient_sections(4);temporal_order_issue,1
insufficient_keystrokes(49);insufficient_sections(1),1
insufficient_keystrokes(44);insufficient_sections(1),1
insufficient_keystrokes(95);insufficient_sections(3);temporal_order_issue,1
insufficient_keystrokes(88);insufficient_sections(3);temporal_order_issue,1
insufficient_keystrokes(160);insufficient_sections(2);temporal_order_issue,1
insufficient_keystrokes(76);insufficient_sections(2);temporal_order_issue,1
insufficient_keystrokes(11);insufficient_sections(1);low_finite_ratio(0.8580);temporal_order_issue,1
