failure_reason,participants
insufficient_keystrokes(494),5
insufficient_keystrokes(492),5
insufficient_keystrokes(504),5
insufficient_keystrokes(496),4
insufficient_keystrokes(493),4
insufficient_keystrokes(506),4
insufficient_keystrokes(481),3
insufficient_sections(11),3
insufficient_keystrokes(491),3
insufficient_keystrokes(497),3
insufficient_keystrokes(484),3
insufficient_keystrokes(474),2
insufficient_keystrokes(488),2
insufficient_keystrokes(495),2
insufficient_sections(11);insufficient_keystrokes(519),2
insufficient_keystrokes(489),2
insufficient_sections(10),2
insufficient_keystrokes(499),2
insufficient_sections(10);insufficient_keystrokes(416),2
insufficient_keystrokes(482),2
insufficient_sections(11);insufficient_keystrokes(593),2
insufficient_keystrokes(478),2
insufficient_keystrokes(485),2
insufficient_keystrokes(469),1
insufficient_sections(13);insufficient_keystrokes(531),1
insufficient_sections(9);insufficient_keystrokes(362),1
insufficient_sections(4);insufficient_keystrokes(277),1
insufficient_sections(9);insufficient_keystrokes(533),1
insufficient_sections(10);insufficient_keystrokes(562),1
insufficient_sections(5);insufficient_keystrokes(253),1
insufficient_sections(9);insufficient_keystrokes(379),1
insufficient_sections(6);insufficient_keystrokes(255),1
insufficient_sections(13);insufficient_keystrokes(539),1
insufficient_sections(9);insufficient_keystrokes(413),1
insufficient_sections(2);insufficient_keystrokes(76),1
insufficient_sections(13);insufficient_keystrokes(498),1
insufficient_sections(12);insufficient_keystrokes(505),1
insufficient_sections(11);insufficient_keystrokes(455),1
insufficient_keystrokes(465),1
insufficient_sections(11);insufficient_keystrokes(439),1
insufficient_sections(9);insufficient_keystrokes(386),1
insufficient_keystrokes(487),1
insufficient_sections(6);insufficient_keystrokes(270),1
insufficient_sections(11);insufficient_keystrokes(517),1
insufficient_sections(8);insufficient_keystrokes(492),1
insufficient_sections(10);insufficient_keystrokes(498),1
insufficient_sections(13);insufficient_keystrokes(524),1
insufficient_sections(13);insufficient_keystrokes(558),1
insufficient_sections(4);insufficient_keystrokes(158),1
insufficient_sections(1);insufficient_keystrokes(49),1
insufficient_sections(8);insufficient_keystrokes(394),1
insufficient_sections(1);insufficient_keystrokes(11);low_finite_ratio(0.8580),1
insufficient_sections(6);insufficient_keystrokes(259),1
insufficient_keystrokes(486),1
insufficient_sections(12);insufficient_keystrokes(555),1
insufficient_sections(9);insufficient_keystrokes(408),1
insufficient_sections(9);insufficient_keystrokes(361),1
insufficient_sections(9);insufficient_keystrokes(419),1
insufficient_sections(5);insufficient_keystrokes(252),1
insufficient_sections(14);insufficient_keystrokes(572),1
insufficient_sections(3);insufficient_keystrokes(95),1
insufficient_sections(9);insufficient_keystrokes(399),1
insufficient_sections(8);insufficient_keystrokes(439),1
insufficient_sections(12);insufficient_keystrokes(488),1
insufficient_keystrokes(437),1
insufficient_keystrokes(466),1
insufficient_keystrokes(451),1
insufficient_sections(11);insufficient_keystrokes(580),1
insufficient_sections(2);insufficient_keystrokes(160),1
insufficient_sections(5);insufficient_keystrokes(201),1
insufficient_sections(10);insufficient_keystrokes(358),1
insufficient_sections(6);insufficient_keystrokes(178),1
insufficient_sections(5);insufficient_keystrokes(210),1
insufficient_sections(8);insufficient_keystrokes(319),1
insufficient_sections(8);insufficient_keystrokes(339),1
insufficient_sections(5);insufficient_keystrokes(298),1
insufficient_sections(10);insufficient_keystrokes(546),1
insufficient_sections(8);insufficient_keystrokes(313),1
insufficient_sections(10);insufficient_keystrokes(465),1
insufficient_sections(9);insufficient_keystrokes(446),1
insufficient_sections(11);insufficient_keystrokes(565),1
insufficient_sections(10);insufficient_keystrokes(592),1
insufficient_sections(6);insufficient_keystrokes(227),1
insufficient_sections(13);insufficient_keystrokes(545),1
insufficient_sections(10);insufficient_keystrokes(501),1
insufficient_sections(9);insufficient_keystrokes(428),1
insufficient_sections(9);insufficient_keystrokes(323),1
insufficient_sections(11);insufficient_keystrokes(522),1
insufficient_sections(7);insufficient_keystrokes(449),1
insufficient_sections(6);insufficient_keystrokes(265),1
insufficient_sections(12);insufficient_keystrokes(479),1
insufficient_sections(5);insufficient_keystrokes(226),1
insufficient_sections(4);insufficient_keystrokes(141),1
insufficient_sections(10);insufficient_keystrokes(579),1
insufficient_sections(5);insufficient_keystrokes(190),1
insufficient_sections(7);insufficient_keystrokes(419),1
insufficient_sections(8);insufficient_keystrokes(463),1
insufficient_sections(7);insufficient_keystrokes(435),1
insufficient_keystrokes(475),1
insufficient_sections(12);insufficient_keystrokes(589),1
insufficient_sections(8);insufficient_keystrokes(406),1
insufficient_sections(13);insufficient_keystrokes(562),1
insufficient_sections(10);insufficient_keystrokes(586),1
insufficient_sections(9);insufficient_keystrokes(378),1
insufficient_sections(14);insufficient_keystrokes(580),1
insufficient_sections(10);insufficient_keystrokes(435),1
insufficient_sections(11);insufficient_keystrokes(394),1
insufficient_sections(9);insufficient_keystrokes(371),1
insufficient_sections(7);insufficient_keystrokes(385),1
insufficient_sections(13);insufficient_keystrokes(530),1
insufficient_keystrokes(477),1
insufficient_sections(1);insufficient_keystrokes(44),1
insufficient_sections(12);insufficient_keystrokes(552),1
insufficient_sections(11);insufficient_keystrokes(436),1
insufficient_keystrokes(467),1
insufficient_sections(9);insufficient_keystrokes(424),1
insufficient_sections(8);insufficient_keystrokes(327),1
insufficient_sections(7);insufficient_keystrokes(330),1
insufficient_sections(9);insufficient_keystrokes(544),1
insufficient_sections(7);insufficient_keystrokes(402),1
insufficient_sections(3);insufficient_keystrokes(110),1
insufficient_sections(6);insufficient_keystrokes(292),1
insufficient_sections(10);insufficient_keystrokes(403),1
insufficient_sections(11);insufficient_keystrokes(516),1
insufficient_sections(13);insufficient_keystrokes(541),1
insufficient_keystrokes(436),1
insufficient_sections(12);insufficient_keystrokes(525),1
insufficient_sections(11);insufficient_keystrokes(477),1
insufficient_sections(10);insufficient_keystrokes(472),1
insufficient_sections(13);insufficient_keystrokes(520),1
insufficient_sections(9);insufficient_keystrokes(380),1
insufficient_sections(12);insufficient_keystrokes(565),1
insufficient_sections(13);insufficient_keystrokes(551),1
insufficient_sections(3);insufficient_keystrokes(88),1
insufficient_sections(12);insufficient_keystrokes(595),1
insufficient_sections(5);insufficient_keystrokes(259),1
insufficient_sections(8);insufficient_keystrokes(389),1
insufficient_sections(14);insufficient_keystrokes(526),1
insufficient_sections(12);insufficient_keystrokes(518),1
insufficient_sections(6);insufficient_keystrokes(311),1
insufficient_sections(11);insufficient_keystrokes(508),1
insufficient_sections(4);insufficient_keystrokes(220),1
insufficient_sections(6);insufficient_keystrokes(366),1
insufficient_sections(11);insufficient_keystrokes(568),1
insufficient_sections(9);insufficient_keystrokes(412),1
insufficient_sections(4);insufficient_keystrokes(142),1
insufficient_sections(7);insufficient_keystrokes(257),1
insufficient_sections(4);insufficient_keystrokes(151),1
insufficient_sections(12);insufficient_keystrokes(550),1
insufficient_sections(8);insufficient_keystrokes(365),1
insufficient_sections(8);insufficient_keystrokes(325),1
insufficient_sections(13);insufficient_keystrokes(583),1
insufficient_sections(12);insufficient_keystrokes(535),1
insufficient_keystrokes(470),1
insufficient_keystrokes(479),1
insufficient_sections(8);insufficient_keystrokes(346),1
insufficient_sections(8);insufficient_keystrokes(359),1
insufficient_sections(6);insufficient_keystrokes(250),1
insufficient_sections(7);insufficient_keystrokes(342),1
insufficient_sections(14);insufficient_keystrokes(524),1
insufficient_sections(9);insufficient_keystrokes(248),1
